Hospital Name,State,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Readmission national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Patient experience national comparison
NYU HOSPITALS CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Above the national average,Same as the national average,Below the national average,Below the national average
"ROME MEMORIAL HOSPITAL, INC",NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
OSWEGO HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Below the national average,Same as the national average
ERIE COUNTY MEDICAL CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Same as the national average
WYCKOFF HEIGHTS MEDICAL CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,Below the national average,Same as the national average,Below the national average,Below the national average
SARATOGA HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Above the national average,Same as the national average,Below the national average,Above the national average
MASSENA MEMORIAL HOSPITAL,NY,Acute Care Hospitals,Government - Local,Yes,2.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
HEALTHALLIANCE HOSPITAL MARYS AVENUE CAMPUS,NY,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4.0,Same as the national average,Not Available,Not Available,Same as the national average
UNITY HOSPITAL OF ROCHESTER,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Below the national average,Same as the national average,Below the national average,Above the national average
BROOKS MEMORIAL HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
QUEENS HOSPITAL CENTER,NY,Acute Care Hospitals,Government - Local,Yes,1.0,Below the national average,Same as the national average,Below the national average,Below the national average
ST MARY'S HOSPITAL ( TROY ),NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Below the national average,Below the national average
BROOKDALE HOSPITAL MEDICAL CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,Below the national average,Below the national average,Below the national average,Below the national average
WESTCHESTER MEDICAL CENTER,NY,Acute Care Hospitals,Government - Hospital District or Authority,Yes,1.0,Below the national average,Same as the national average,Below the national average,Below the national average
AUBURN MEMORIAL HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Same as the national average,Same as the national average,Below the national average,Below the national average
NEW YORK-PRESBYTERIAN BROOKLYN METHODIST HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,Below the national average,Same as the national average,Below the national average,Below the national average
NICHOLAS H NOYES MEMORIAL HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
WOMAN'S CHRISTIAN ASSOCIATION,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Same as the national average,Below the national average,Below the national average,Below the national average
HARLEM HOSPITAL CENTER,NY,Acute Care Hospitals,Government - Local,Yes,1.0,Below the national average,Same as the national average,Below the national average,Below the national average
UNIVERSITY HOSPITAL S U N Y HEALTH SCIENCE CENTER,NY,Acute Care Hospitals,Government - State,Yes,1.0,Below the national average,Same as the national average,Below the national average,Below the national average
ST ELIZABETH MEDICAL CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Same as the national average,Below the national average,Below the national average,Same as the national average
ST CHARLES HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,Below the national average,Same as the national average,Below the national average,Same as the national average
CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Below the national average,Same as the national average
MERCY MEDICAL CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,Below the national average,Same as the national average,Below the national average,Below the national average
PHELPS MEMORIAL HOSPITAL ASSN,NY,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Same as the national average,Same as the national average,Below the national average,Same as the national average
ST LUKE'S CORNWALL HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
CLIFTON SPRINGS HOSPITAL AND CLINIC,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
NEW YORK-PRESBYTERIAN/HUDSON VALLEY HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Same as the national average
COBLESKILL REGIONAL HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
HOSPITAL FOR SPECIAL SURGERY,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5.0,Not Available,Same as the national average,Not Available,Above the national average
PUTNAM HOSPITAL CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Same as the national average,Above the national average
NATHAN LITTAUER HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Same as the national average,Same as the national average
CORNING HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Below the national average,Same as the national average,Same as the national average,Above the national average
MERCY HOSPITAL OF BUFFALO,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Above the national average,Same as the national average,Below the national average,Below the national average
STRONG MEMORIAL HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Below the national average,Same as the national average
GOOD SAMARITAN HOSPITAL MEDICAL CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Church,Yes,1.0,Below the national average,Same as the national average,Below the national average,Below the national average
WHITE PLAINS HOSPITAL CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Above the national average,Below the national average,Above the national average
CAYUGA MEDICAL CENTER AT ITHACA,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Above the national average,Same as the national average,Below the national average,Above the national average
PLAINVIEW HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
ST JOSEPH HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
SOUTHAMPTON HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Below the national average,Below the national average,Below the national average
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),NY,Acute Care Hospitals,Government - State,Yes,1.0,Below the national average,Below the national average,Below the national average,Below the national average
NORTH CENTRAL BRONX HOSPITAL,NY,Acute Care Hospitals,Government - Local,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
CATSKILL REGIONAL MEDICAL CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
ROCKEFELLER UNIVERSITY HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,No,,Not Available,Not Available,Not Available,Not Available
UNIVERSITY HOSPITAL ( STONY BROOK ),NY,Acute Care Hospitals,Government - State,Yes,2.0,Below the national average,Same as the national average,Below the national average,Same as the national average
"UNITED HEALTH SERVICES HOSPITALS, INC",NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Above the national average,Same as the national average,Below the national average,Below the national average
ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,Below the national average,Same as the national average,Below the national average,Below the national average
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,NY,Acute Care Hospitals,Government - Local,Yes,2.0,Below the national average,Below the national average,Below the national average,Below the national average
INTERFAITH MEDICAL CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Private,No,1.0,Below the national average,Below the national average,Below the national average,Below the national average
ST BARNABAS HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Same as the national average,Same as the national average,Below the national average,Below the national average
ST CATHERINE OF SIENA HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
MONROE COMMUNITY HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Other,No,,Not Available,Not Available,Not Available,Not Available
HELEN HAYES HOSPITAL,NY,Acute Care Hospitals,Government - Local,No,,Not Available,Not Available,Not Available,Not Available
SUNNYVIEW HOSPITAL AND REHABILITATION CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Private,No,,Not Available,Not Available,Not Available,Not Available
TRI-TOWN REGIONAL HEALTHCARE,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,Not Available,Not Available,Not Available,Not Available
BURDETT CARE CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Private,No,,Not Available,Not Available,Not Available,Not Available
"CUBA MEMORIAL HOSPITAL, INC",NY,Critical Access Hospitals,Voluntary non-profit - Private,No,,Not Available,Not Available,Same as the national average,Not Available
ELIZABETHTOWN COMMUNITY HOSPITAL,NY,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Not Available,Same as the national average,Not Available
